94,-1,144,501.0
95,-1,10,120.0
96,-1,121,543.0
97,-1,107,432.0
98,13,35,515.0
99,25,65,230.0
103,100,107,333.0
104,24,212,911.0
105,25,107,235.0
106,-1,35,811.0
108,43,107,141.0
109,-1,144,601.0
110,-1,35,215.0
111,-1,35,212.0
112,-1,35,412.0
113,25,121,343.0
114,-1,35,113.0
115,13,121,245.0
116,-1,35,319.0
117,13,212,823.0
118,13,212,521.0
119,13,212,626.0
120,-1,35,119.0
122,-1,121,444.0
123,-1,121,344.0
124,25,107,334.0
125,-1,65,329.0
126,101,65,529.0
126,24,65,429.0
127,100,65,130.0
128,-1,65,131.0
129,25,144,402.0
130,-1,102,1024.0
131,101,37,247.0
132,-1,37,148.0
133,13,10,423.0
133,13,10,223.0
133,13,10,123.0
133,13,10,622.0
134,-1,10,422.0
134,-1,10,220.0
135,43,10,124.0
135,43,10,723.0
135,43,10,623.0
136,40,35,717.0
136,13,35,616.0
137,25,35,114.0
137,101,35,513.0
138,43,35,418.0
139,43,35,318.0
139,43,35,217.0
140,25,212,716.0
140,25,212,615.0
141,101,37,147.0
142,25,121,243.0
143,25,35,713.0
143,24,35,413.0
145,-1,144,303.0
146,-1,35,314.0
147,13,10,324.0
148,101,121,342.0
149,-1,107,238.0
150,13,212,722.0
151,25,121,443.0
152,-1,121,144.0
153,24,144,102.0
154,-1,144,503.0
155,-1,10,419.0
156,-1,102,824.0
157,-1,102,924.0
158,-1,107,236.0
159,25,10,122.0
160,100,35,613.0
161,-1,102,628.0
162,-1,35,213.0
163,-1,10,222.0
164,43,107,241.0
164,43,107,440.0
164,43,107,140.0
164,43,107,240.0
165,13,107,339.0
166,40,107,539.0
166,40,107,439.0
167,13,107,239.0
167,13,107,139.0
167,13,107,338.0
168,40,35,518.0
168,43,35,417.0
168,43,35,117.0
169,13,35,416.0
169,13,35,315.0
170,40,35,617.0
171,101,107,133.0
172,-1,35,313.0
173,24,107,532.0
174,-1,107,336.0
175,-1,121,146.0
176,-1,107,142.0
176,-1,107,541.0
177,-1,58,711.0
178,13,58,410.0
179,43,58,810.0
180,43,58,610.0
181,13,58,211.0
182,13,58,210.0
183,-1,107,332.0
184,13,121,445.0
185,-1,144,101.0
186,-1,144,401.0
187,13,35,415.0
188,-1,107,132.0
189,-1,107,337.0
190,-1,144,701.0
191,25,144,103.0
192,25,58,109.0
193,-1,10,522.0
194,-1,35,219.0
195,101,107,233.0
196,-1,144,406.0
197,100,10,321.0
198,-1,65,330.0
199,-1,102,129.0
200,13,121,345.0
201,-1,212,409.0
201,-1,212,407.0
202,-1,212,606.0
203,-1,212,508.0
204,-1,212,910.0
205,25,37,347.0
206,13,37,248.0
207,-1,35,514.0
208,-1,35,312.0
209,-1,58,611.0
210,25,107,234.0
211,13,212,1224.0
213,-1,212,520.0
214,25,107,136.0
215,13,10,224.0
215,13,10,523.0
216,25,107,134.0
217,43,107,340.0
218,-1,107,237.0
